"orderid","orderdate","receiveddate","quantity","cost","shippingcost","animal.animalid","animal.name","animal.category","animal.breed","animal.dateborn","animal.gender","animal.registered","animal.color","animal.listprice","merchandise.merchandiseid","merchandise.description","merchandise.quantityonhand","merchandise.listprice","merchandise.category","supplier.supplierid","supplier.name","supplier.contactname","supplier.phone","supplier.address","supplier.city","supplier.state","supplier.zipcode"
250,"2004-08-11","2004-08-16",88,21.3,21.68,,"","","","","","","",,20,"Wood Shavings/Bedding",141,10,"Mammal",13,"Hughes","Natasha","615-798-8614","5610 Church Street","Cookeville","TN","38501"
251,"2004-08-18","",12,25.76,32.33,,"","","","","","","",,5,"Cat Bed-Small",36,25,"Cat",10,"Rhodes","Brad","308-466-7092","633 West Street","Kearney","NE","68847"
252,"2004-08-18","",16,7.07,32.33,,"","","","","","","",,5,"Cat Bed-Small",36,25,"Cat",10,"Rhodes","Brad","308-466-7092","633 West Street","Kearney","NE","68847"
253,"2004-08-19","",42,21.22,39.02,,"","","","","","","",,3,"Dog Kennel-Large",13,85,"Dog",15,"Osborne","Christine","615-245-8406","1565 Sunnyhill Trace","Lebanon","TN","37087"
254,"2004-08-19","",5,67.84,39.02,,"","","","","","","",,3,"Dog Kennel-Large",13,85,"Dog",15,"Osborne","Christine","615-245-8406","1565 Sunnyhill Trace","Lebanon","TN","37087"
255,"2004-08-19","",47,8.86,39.02,,"","","","","","","",,3,"Dog Kennel-Large",13,85,"Dog",15,"Osborne","Christine","615-245-8406","1565 Sunnyhill Trace","Lebanon","TN","37087"
256,"2004-08-31","2004-09-15",199,0.64,28.35,,"","","","","","","",,25,"Fish Food",113,3,"Fish",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
257,"2004-08-31","2004-09-15",35,1.99,28.35,,"","","","","","","",,25,"Fish Food",113,3,"Fish",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
258,"2004-09-19","",5,65.13,43.64,,"","","","","","","",,23,"Aquarium-25 gal",28,75,"Fish",13,"Hughes","Natasha","615-798-8614","5610 Church Street","Cookeville","TN","38501"
259,"2004-09-19","",30,4.69,43.64,,"","","","","","","",,23,"Aquarium-25 gal",28,75,"Fish",13,"Hughes","Natasha","615-798-8614","5610 Church Street","Cookeville","TN","38501"
260,"2004-09-19","",1711,0.42,43.64,,"","","","","","","",,23,"Aquarium-25 gal",28,75,"Fish",13,"Hughes","Natasha","615-798-8614","5610 Church Street","Cookeville","TN","38501"
261,"2004-09-30","",11,5.37,37.98,,"","","","","","","",,15,"Dog Food-Can-Regular",452,0.4,"Dog",10,"Rhodes","Brad","308-466-7092","633 West Street","Kearney","NE","68847"
262,"2004-09-30","",12,31.01,37.98,,"","","","","","","",,15,"Dog Food-Can-Regular",452,0.4,"Dog",10,"Rhodes","Brad","308-466-7092","633 West Street","Kearney","NE","68847"
263,"2004-09-30","",134,3.08,37.98,,"","","","","","","",,15,"Dog Food-Can-Regular",452,0.4,"Dog",10,"Rhodes","Brad","308-466-7092","633 West Street","Kearney","NE","68847"
264,"2004-10-06","",9,42.4,33.76,,"","","","","","","",,12,"Cat Food-Dry-5 pound",413,7,"Cat",13,"Hughes","Natasha","615-798-8614","5610 Church Street","Cookeville","TN","38501"
265,"2004-10-06","",7,45.18,33.76,,"","","","","","","",,12,"Cat Food-Dry-5 pound",413,7,"Cat",13,"Hughes","Natasha","615-798-8614","5610 Church Street","Cookeville","TN","38501"
266,"2004-10-06","",13,7.26,40.39,,"","","","","","","",,13,"Cat Food-Dry-10 pound",224,10,"Cat",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
267,"2004-10-06","",452,0.27,40.39,,"","","","","","","",,13,"Cat Food-Dry-10 pound",224,10,"Cat",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
268,"2004-10-06","",332,0.69,40.39,,"","","","","","","",,13,"Cat Food-Dry-10 pound",224,10,"Cat",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
269,"2004-10-06","",185,0.59,33.76,,"","","","","","","",,12,"Cat Food-Dry-5 pound",413,7,"Cat",13,"Hughes","Natasha","615-798-8614","5610 Church Street","Cookeville","TN","38501"
270,"2004-10-06","",13,22.07,33.76,,"","","","","","","",,12,"Cat Food-Dry-5 pound",413,7,"Cat",13,"Hughes","Natasha","615-798-8614","5610 Church Street","Cookeville","TN","38501"
271,"2004-10-06","",88,21.98,40.39,,"","","","","","","",,13,"Cat Food-Dry-10 pound",224,10,"Cat",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
272,"2004-10-06","",115,4.8,40.39,,"","","","","","","",,13,"Cat Food-Dry-10 pound",224,10,"Cat",12,"Love","David","606-282-6165","5745 Mud River Valley Road","Harrodsburg","KY","40330"
273,"2004-10-27","",75,8.56,18.69,,"","","","","","","",,24,"Aquarium-100 gal",11,150,"Fish",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
274,"2004-10-27","",20,13.44,18.69,,"","","","","","","",,24,"Aquarium-100 gal",11,150,"Fish",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
275,"2004-10-27","",11,22.67,18.69,,"","","","","","","",,24,"Aquarium-100 gal",11,150,"Fish",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
276,"2004-10-27","",97,2.27,18.69,,"","","","","","","",,24,"Aquarium-100 gal",11,150,"Fish",11,"Parrish","Mandy","606-033-1460","9641 Elm Street","Danville","KY","40422"
